,Company Name,Company Rating,Company Type,Company Locations
186,R1 RCM,3.9,Healthcare , Murray +32 more
187,American Express,4.2,Financial Services , New York City +41 more
188,Alembic Pharmaceuticals,4.0,Pharma , Vadodara/Baroda +155 more
189,Pidilite Industries,4.4,Chemicals , Mumbai +243 more
190,Tata AIA Life Insurance,4.1,Insurance , Mumbai +335 more
191,UnitedHealth,4.1,Healthcare , Minnetonka +16 more
192,Hindalco Industries,4.3,Metals & Mining , Mumbai +90 more
193,Alkem Laboratories,3.9,Pharma , Mumbai +165 more
194,Aakash Educational Services,3.6,EdTech , New Delhi +213 more
195,Publicis Sapient,3.6,IT Services & Consulting , New York +28 more
196,Atos,3.8,IT Services & Consulting , Vilnius +42 more
197,Utkarsh Small Finance Bank,3.9,Banking , Varanasi +305 more
198,DCB Bank,3.8,Banking , Mumbai +307 more
199,Hindustan Coca Cola Beverages,4.3,Beverage , Bangalore +217 more
200,Indian Air Force,4.7,Defence & Aerospace , New Delhi +117 more
201,Vishal Mega Mart,3.8,Retail , Gurgaon/Gurugram +321 more
202,Barclays,4.0,Banking , London +32 more
203,Berger Paints,3.8,Chemicals , Kolkata +263 more
204,Marpu Foundation,4.9,Non-Profit , Hyderabad/Secunderabad +60 more
205,Glenmark Pharmaceuticals,4.0,Pharma , Mumbai +141 more
206,Ipca Laboratories,4.0,Pharma , Mumbai +131 more
207,Jindal Steel and Power,4.0,Iron & Steel , Delhi/NCR +125 more
208,Bank of America,4.4,Banking , Charlotte +28 more
209,Maersk,4.3,Logistics , Copenhagen +36 more
210,DTDC Express,3.8,Logistics , Bangalore/Bengaluru +230 more
211,24/7 Customer,3.5,BPO , San Jose +28 more
212,Aarti Industries,4.2,Agro Chemicals , Mumbai +43 more
213,ABB Group,4.1,Electrical Equipment , Zurich +97 more
214,Honda Motorcycle & Scooter,4.1,Automobile , Gurgaon/Gurugram +223 more
215,Wipro Infotech,4.0,IT Services & Consulting , Bangalore +120 more
216,Carelon Global Solutions,4.0,IT Services & Consulting , Hyderabad / Secunderabad +14 more
217,Johnson Controls,3.7,Industrial Automation , Cork +50 more
218,HDFC Ergo General Insurance,4.0,Insurance , Mumbai +239 more
219,NatWest Group,4.0,Banking , Gurgaon / Gurugram +22 more
220,PolicyBazaar,3.4,Internet , Gurgaon +94 more
221,CMS IT Services,3.1,IT Services & Consulting , Bangalore +138 more
222,Cogent E Services,3.3,BPO , Noida +36 more
223,MRF Tyres,3.8,Auto Components , Chennai +162 more
224,RBL Bank,3.8,Banking , Mumbai +229 more
225,Reliance Nippon Life Insurance,3.8,Insurance , Mumbai +437 more
226,Paras Hospital,4.6,Healthcare , Gurgaon/Gurugram +49 more
227,Reliance Digital,4.2,Retail , Mumbai +312 more
228,PNB MetLife,3.5,Insurance , Mumbai +329 more
229,Jubilant Foods Works,3.9,Hospitality , Noida +201 more
230,Escorts Kubota Limited,4.1,Automobile , Faridabad +137 more
